_id,measure_id,measure_name,interval_type,value_type,measure_value,year_to_date_variance,budget_variance,decimal_accuracy,desired_direction,category,data_source_notes,city_perspective_note,year,period_number_in_year,target,note
1,1.131,Number of Consumer Bankruptcies for the City of Toronto,m,n,163,0.05,,0,Down,Community Vulnerability,Source: Office of the Superintendent of Bankruptcy Canada (OSBC),,2018,1,,
2,1.131,Number of Consumer Bankruptcies for the City of Toronto,m,n,197,0.05,,0,Down,Community Vulnerability,Source: Office of the Superintendent of Bankruptcy Canada (OSBC),,2018,2,,
3,1.131,Number of Consumer Bankruptcies for the City of Toronto,m,n,219,0.05,,0,Down,Community Vulnerability,Source: Office of the Superintendent of Bankruptcy Canada (OSBC),,2018,3,,
4,1.131,Number of Consumer Bankruptcies for the City of Toronto,m,n,235,0.05,,0,Down,Community Vulnerability,Source: Office of the Superintendent of Bankruptcy Canada (OSBC),,2018,4,,
5,1.131,Number of Consumer Bankruptcies for the City of Toronto,m,n,253,0.05,,0,Down,Community Vulnerability,Source: Office of the Superintendent of Bankruptcy Canada (OSBC),,2018,5,,
6,1.131,Number of Consumer Bankruptcies for the City of Toronto,m,n,221,0.05,,0,Down,Community Vulnerability,Source: Office of the Superintendent of Bankruptcy Canada (OSBC),,2018,6,,
7,1.131,Number of Consumer Bankruptcies for the City of Toronto,m,n,215,0.05,,0,Down,Community Vulnerability,Source: Office of the Superintendent of Bankruptcy Canada (OSBC),,2018,7,,
8,1.131,Number of Consumer Bankruptcies for the City of Toronto,m,n,177,0.05,,0,Down,Community Vulnerability,Source: Office of the Superintendent of Bankruptcy Canada (OSBC),,2018,8,,
9,1.131,Number of Consumer Bankruptcies for the City of Toronto,m,n,188,0.05,,0,Down,Community Vulnerability,Source: Office of the Superintendent of Bankruptcy Canada (OSBC),,2018,9,,
10,1.131,Number of Consumer Bankruptcies for the City of Toronto,m,n,230,0.05,,0,Down,Community Vulnerability,Source: Office of the Superintendent of Bankruptcy Canada (OSBC),,2018,10,,
11,1.131,Number of Consumer Bankruptcies for the City of Toronto,m,n,188,0.05,,0,Down,Community Vulnerability,Source: Office of the Superintendent of Bankruptcy Canada (OSBC),,2018,11,,
